,Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
12856,January 2019,J Church,Muni Metro,Weekday,13900.0
12857,February 2019,J Church,Muni Metro,Weekday,14700.0
12858,March 2019,J Church,Muni Metro,Weekday,14800.0
12859,April 2019,J Church,Muni Metro,Weekday,14900.0
12860,May 2019,J Church,Muni Metro,Weekday,14600.0
12861,June 2019,J Church,Muni Metro,Weekday,15100.0
12862,July 2019,J Church,Muni Metro,Weekday,15800.0
12863,August 2019,J Church,Muni Metro,Weekday,15700.0
12864,September 2019,J Church,Muni Metro,Weekday,15500.0
12865,October 2019,J Church,Muni Metro,Weekday,15900.0
12866,November 2019,J Church,Muni Metro,Weekday,14800.0
12867,December 2019,J Church,Muni Metro,Weekday,14200.0
12983,January 2019,KT Ingleside/Third,Muni Metro,Weekday,35300.0
12984,February 2019,KT Ingleside/Third,Muni Metro,Weekday,37400.0
12985,March 2019,KT Ingleside/Third,Muni Metro,Weekday,37600.0
12986,April 2019,KT Ingleside/Third,Muni Metro,Weekday,37900.0
12987,May 2019,KT Ingleside/Third,Muni Metro,Weekday,37000.0
12988,June 2019,KT Ingleside/Third,Muni Metro,Weekday,38400.0
12989,July 2019,KT Ingleside/Third,Muni Metro,Weekday,33100.0
12990,August 2019,KT Ingleside/Third,Muni Metro,Weekday,32900.0
12991,September 2019,KT Ingleside/Third,Muni Metro,Weekday,32500.0
12992,October 2019,KT Ingleside/Third,Muni Metro,Weekday,33300.0
12993,November 2019,KT Ingleside/Third,Muni Metro,Weekday,31100.0
12994,December 2019,KT Ingleside/Third,Muni Metro,Weekday,29800.0
13022,January 2019,L Taraval,Muni Metro,Weekday,30700.0
13023,February 2019,L Taraval,Muni Metro,Weekday,32500.0
13024,March 2019,L Taraval,Muni Metro,Weekday,32700.0
13025,April 2019,L Taraval,Muni Metro,Weekday,32900.0
13026,May 2019,L Taraval,Muni Metro,Weekday,32200.0
13027,June 2019,L Taraval,Muni Metro,Weekday,33400.0
13028,July 2019,L Taraval,Muni Metro,Weekday,33900.0
13029,August 2019,L Taraval,Muni Metro,Weekday,33700.0
13030,September 2019,L Taraval,Muni Metro,Weekday,33300.0
13031,October 2019,L Taraval,Muni Metro,Weekday,34100.0
13032,November 2019,L Taraval,Muni Metro,Weekday,31900.0
13033,December 2019,L Taraval,Muni Metro,Weekday,30500.0
13056,January 2019,M Ocean View,Muni Metro,Weekday,29600.0
13057,February 2019,M Ocean View,Muni Metro,Weekday,31300.0
13058,March 2019,M Ocean View,Muni Metro,Weekday,31500.0
13059,April 2019,M Ocean View,Muni Metro,Weekday,31700.0
13060,May 2019,M Ocean View,Muni Metro,Weekday,31000.0
13061,June 2019,M Ocean View,Muni Metro,Weekday,32200.0
13062,July 2019,M Ocean View,Muni Metro,Weekday,32900.0
13063,August 2019,M Ocean View,Muni Metro,Weekday,32700.0
13064,September 2019,M Ocean View,Muni Metro,Weekday,32400.0
13065,October 2019,M Ocean View,Muni Metro,Weekday,33100.0
13066,November 2019,M Ocean View,Muni Metro,Weekday,30900.0
13067,December 2019,M Ocean View,Muni Metro,Weekday,29600.0
13127,January 2019,N Judah,Muni Metro,Weekday,43900.0
13128,February 2019,N Judah,Muni Metro,Weekday,46500.0
13129,March 2019,N Judah,Muni Metro,Weekday,46800.0
13130,April 2019,N Judah,Muni Metro,Weekday,47100.0
13131,May 2019,N Judah,Muni Metro,Weekday,46100.0
13132,June 2019,N Judah,Muni Metro,Weekday,47800.0
13133,July 2019,N Judah,Muni Metro,Weekday,50900.0
13134,August 2019,N Judah,Muni Metro,Weekday,50600.0
13135,September 2019,N Judah,Muni Metro,Weekday,50000.0
13136,October 2019,N Judah,Muni Metro,Weekday,51200.0
13137,November 2019,N Judah,Muni Metro,Weekday,47800.0
13138,December 2019,N Judah,Muni Metro,Weekday,45800.0
